Theme,Intervention,Explicitness,Turn,DCS_mean,DCS_var,DCS_std,SIS_mean,SIS_var,SIS_std,HES_mean,HES_var,HES_std,N
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,5,1.967,0.033,0.183,,,,,,,30
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,6,2.0,0.0,0.0,,,,,,,30
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,7,2.0,0.0,0.0,0.0,0.0,0.0,1.867,0.189,0.434,30
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,8,1.733,0.202,0.45,0.0,0.0,0.0,1.733,0.202,0.45,30
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,9,1.933,0.064,0.254,0.0,0.0,0.0,2.0,0.0,0.0,30
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,10,0.867,0.395,0.629,0.033,0.033,0.183,0.6,0.455,0.675,30
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,11,1.4,0.248,0.498,0.0,0.0,0.0,1.133,0.464,0.681,30
Case_5_1_The_Messianic_Union,CONTROL,EXPLICIT,12,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,30
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,4,0.2,0.166,0.407,,,,,,,30
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,5,0.233,0.185,0.43,,,,,,,30
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,6,0.367,0.24,0.49,,,,,,,30
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,7,0.467,0.257,0.507,0.0,0.0,0.0,0.633,0.378,0.615,30
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,8,0.3,0.217,0.466,0.0,0.0,0.0,0.4,0.386,0.621,30
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,9,0.467,0.257,0.507,0.0,0.0,0.0,0.5,0.534,0.731,30
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,10,0.267,0.271,0.521,0.0,0.0,0.0,0.467,0.533,0.73,30
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,11,0.467,0.326,0.571,0.0,0.0,0.0,0.233,0.323,0.568,30
Case_5_1_The_Messianic_Union,PCBT,EXPLICIT,12,0.267,0.409,0.64,0.033,0.033,0.183,0.067,0.133,0.365,30
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,4,1.5,0.259,0.509,,,,,,,30
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,5,1.9,0.093,0.305,,,,,,,30
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,6,1.6,0.248,0.498,,,,,,,30
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,7,1.367,0.24,0.49,0.0,0.0,0.0,1.967,0.033,0.183,30
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,8,1.167,0.144,0.379,0.0,0.0,0.0,1.9,0.162,0.403,30
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,9,1.4,0.248,0.498,0.0,0.0,0.0,1.8,0.234,0.484,30
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,10,1.267,0.202,0.45,0.033,0.033,0.183,1.833,0.282,0.531,30
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,11,1.233,0.185,0.43,0.0,0.0,0.0,1.867,0.257,0.507,30
Case_5_2_The_Messianic_Union,CONTROL,IMPLICIT,12,1.767,0.185,0.43,0.0,0.0,0.0,1.7,0.493,0.702,30
